Dataset,Trial_1,Trial_1_params,Trial_2,Trial_2_params,Trial_3,Trial_3_params,Trial_4,Trial_4_params,Trial_5,Trial_5_params,Trial_6,Trial_6_params,Trial_7,Trial_7_params,Trial_8,Trial_8_params,Trial_9,Trial_9_params,Trial_10,Trial_10_params,Trial_11,Trial_11_params,Trial_12,Trial_12_params,Trial_13,Trial_13_params,Trial_14,Trial_14_params,Trial_15,Trial_15_params,Trial_16,Trial_16_params,Trial_17,Trial_17_params,Trial_18,Trial_18_params,Trial_19,Trial_19_params,Trial_20,Trial_20_params,Trial_21,Trial_21_params,Trial_22,Trial_22_params,Trial_23,Trial_23_params
MiddlePhalanxTW,,,,,,,,,,,0.1428571428571428,,0.3246753246753247,,0.2077922077922078,,0.2922077922077922,,0.0064935064935064,,0.1363636363636363,,0.5584415584415584,,0.512987012987013,,0.3636363636363636,,0.0844155844155844,,0.4415584415584415,,0.474025974025974,,0.474025974025974,,0.2077922077922078,,0.0779220779220779,,0.422077922077922,,0.4155844155844156,,0.5,
MixedShapesRegularTrain,,,,,,,,,,,0.5422680412371134,,0.6107216494845361,,0.1410309278350515,,0.4548453608247422,,0.2692783505154639,,0.4865979381443299,,0.6964948453608247,,0.7389690721649484,,0.4391752577319587,,0.3171134020618557,,0.7756701030927835,,0.8016494845360824,,0.6729896907216495,,0.7282474226804124,,0.328659793814433,,0.2371134020618556,,0.7319587628865979,,0.7331958762886598,
MixedShapesSmallTrain,,,,,,,,,,,0.2416494845360824,,0.099381443298969,,0.1612371134020618,,0.1323711340206185,,0.1723711340206185,,0.1628865979381443,,0.4705154639175258,,0.5785567010309278,,0.1274226804123711,,0.0284536082474226,,0.1760824742268041,,0.1756701030927835,,0.2857731958762886,,0.2960824742268041,,0.1888659793814433,,0.1422680412371134,,0.4672164948453608,,0.3035051546391752,
MoteStrain,,,,,,,,,,,0.5391373801916933,,0.4608626198083067,,0.4608626198083067,,0.5391373801916933,,0.5391373801916933,,0.5391373801916933,,0.6509584664536742,,0.4608626198083067,,0.505591054313099,,0.4608626198083067,,0.4608626198083067,,0.4608626198083067,,0.4608626198083067,,0.4608626198083067,,0.4608626198083067,,0.5391373801916933,,0.5391373801916933,,0.5375399361022364,
NonInvasiveFetalECGThorax1,,,,,,,,,,,0.1903307888040712,,0.1653944020356234,,0.0422391857506361,,0.1272264631043257,,0.0396946564885496,,0.0366412213740458,,0.1969465648854962,,0.2096692111959287,,0.1511450381679389,,0.0259541984732824,,0.1928753180661577,,0.250381679389313,,0.1628498727735369,,0.1206106870229007,,0.0595419847328244,,0.0860050890585241,,0.2412213740458015,,0.2783715012722646,
NonInvasiveFetalECGThorax2,,,,,,,,,,,0.1333333333333333,,0.2106870229007633,,0.0452926208651399,,0.1903307888040712,,0.0305343511450381,,0.0722646310432569,,0.3129770992366412,,0.2213740458015267,,0.1521628498727735,,0.0055979643765903,,0.2610687022900763,,0.2778625954198473,,0.1923664122137404,,0.149618320610687,,0.0539440203562341,,0.0921119592875318,,0.3506361323155216,,0.2468193384223918,
OSULeaf,,,,,,,,,,,0.1942148760330578,,0.2479338842975206,,0.1900826446280991,,0.1322314049586777,,0.1446280991735537,,0.1157024793388429,,0.2190082644628099,,0.3553719008264462,,0.2396694214876033,,0.1859504132231405,,0.2438016528925619,,0.3223140495867768,,0.1942148760330578,,0.2024793388429752,,0.2272727272727272,,0.1487603305785124,,0.2190082644628099,,0.3140495867768595,
OliveOil,,,,,,,,,,,0.3,,0.1333333333333333,,0.1666666666666666,,0.0333333333333333,,0.0333333333333333,,0.1333333333333333,,0.1666666666666666,,0.6333333333333333,,0.1666666666666666,,0.3,,0.4,,0.4,,0.4,,0.4333333333333333,,0.3,,0.0666666666666666,,0.5666666666666667,,0.5333333333333333,
PhalangesOutlinesCorrect,,,,,,,,,,,0.6911421911421911,,0.6678321678321678,,0.682983682983683,,0.6631701631701632,,0.682983682983683,,0.6468531468531469,,0.7680652680652681,,0.6981351981351981,,0.6958041958041958,,0.4906759906759906,,0.6678321678321678,,0.703962703962704,,0.7261072261072261,,0.7004662004662005,,0.6212121212121212,,0.634032634032634,,0.6864801864801865,,0.7132867132867133,
Phoneme,,,,,,,,,,,0.0163502109704641,,0.0247890295358649,,0.0147679324894514,,0.0073839662447257,,0.0126582278481012,,0.0427215189873417,,0.0933544303797468,,0.0358649789029535,,0.0464135021097046,,0.0268987341772151,,0.1097046413502109,,0.0290084388185654,,0.0068565400843881,,0.0421940928270042,,0.0131856540084388,,0.0363924050632911,,0.1070675105485232,,0.084915611814346,
